"","Area","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12..Vatten.eller.bostäder","X13..Service.eller.grönområden","X14..Centralort.eller.mindre.tätort"
"34","Smedby 2",11,8,9,9,8,11,10,8,7,7,7,9,9,9,10,8,10,9,9,9,11,8,9,8,10,11,9,11,11,11,10,11,11,11,11,11,11,11,10,10,11,10,10,8,9,9,9,10,10,11,6,8,5,8,7,9,8,10,10,7,7,6,5
"35","Smedby 3",11,8,8,9,8,9,10,8,6,7,7,8,8,8,10,10,10,9,8,10,10,8,9,8,9,10,7,10,11,9,9,10,10,10,9,9,10,10,8,9,10,11,11,6,9,9,8,9,9,11,6,4,4,6,5,6,6,6,8,6,7,5,4
"36","Smedby arbetsområde",10,10,13,14,13,10,12,7,7,7,8,10,10,9,13,7,7,7,7,7,14,7,12,8,7,14,14,14,12,9,8,14,13,12,14,14,10,11,5,9,14,14,7,14,11,12,9,12,13,14,3,2,3,4,11,10,4,14,13,11,6,6,4
"37","Stallgatan",11,8,7,10,9,10,9,6,8,6,9,8,8,9,8,8,9,7,9,9,10,7,9,9,8,10,7,10,11,9,10,9,11,10,11,10,10,10,7,9,10,10,9,7,7,8,9,9,9,9,7,8,5,7,7,9,9,9,9,6,8,6,3
"38","Stora Wäsby gård",8,6,11,10,9,12,11,7,6,9,5,4,9,8,10,4,5,9,6,10,5,5,6,6,4,8,12,12,12,12,4,5,10,9,13,12,12,8,8,9,12,12,10,6,9,7,10,7,8,7,4,7,3,10,5,10,11,11,14,2,4,4,7
"39","Södra Bollstanäs",9,8,9,9,8,10,9,8,6,8,7,8,8,8,10,8,8,8,8,10,10,7,9,7,8,10,8,10,12,11,9,9,9,10,10,10,12,11,9,9,10,10,9,7,7,9,9,9,9,10,4,5,4,7,5,10,8,10,7,6,6,5,5
"40","Södra Prästgårdsmarken",11,7,6,10,8,8,9,6,9,5,6,6,9,7,10,10,9,7,8,10,9,6,9,7,6,11,6,11,12,11,9,9,11,10,11,10,12,12,6,10,11,11,10,7,7,8,8,8,10,9,7,3,3,6,6,11,10,13,8,7,7,7,4
"41","Vatthagen",6,8,9,6,8,8,9,9,5,10,8,9,5,6,9,6,10,9,9,10,8,8,8,9,7,8,8,6,9,10,9,9,10,8,9,9,9,9,9,9,10,10,10,6,7,8,9,9,10,8,3,8,3,11,4,9,6,6,9,3,2,2,2
"42","Vilunda/Korpkulla",10,8,7,10,8,10,10,8,7,6,7,8,8,9,10,9,9,8,9,10,10,8,8,8,8,9,8,10,11,11,9,10,10,9,10,10,11,10,9,9,11,10,10,7,8,10,10,10,10,10,5,5,4,7,5,8,8,9,8,6,7,5,4
"43","Väsby villastad/Tegelbruket",14,7,7,7,7,13,8,13,8,3,4,7,12,12,12,14,14,7,7,7,4,14,4,4,4,12,12,12,12,12,4,12,8,10,13,11,11,8,7,7,12,9,12,8,8,10,10,10,9,9,11,13,4,6,12,12,7,7,4,2,10,10,0
