"","X","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12","X13","X14","Area","Utbildningsnivå","Sysselsättning","Tid.i.UppVäs","Ålder","Kön"
"1",1,10,3,11,11,3,11,11,4,5,7,10,11,11,4,11,10,12,6,9,10,14,9,14,6,14,9,3,11,11,7,11,14,8,14,14,11,11,11,11,11,14,14,14,5,7,9,5,10,9,10,1,3,1,4,14,14,5,14,13,1,5,4,9,"Smedby 3","Grundskola eller motsvarande obligatorisk skola","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","45-54","Kvinna"
"2",2,14,14,14,7,7,14,14,14,5,14,7,7,7,7,7,14,3,5,13,7,7,7,7,7,7,4,6,14,14,9,14,13,13,13,13,14,14,14,13,13,14,14,14,6,14,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Runby","Högskola/universitet","Pensionär","10 år eller mer","65+","Vill ej uppge"
"3",3,7,7,7,7,7,11,11,8,11,7,4,10,10,7,7,10,7,8,10,7,9,9,9,9,11,11,8,10,11,11,8,10,10,10,11,14,14,11,9,11,10,11,11,3,7,11,11,11,11,11,6,6,6,6,9,12,12,12,6,6,9,2,2,"Vilunda/Korpkulla","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"4",4,9,6,8,10,9,9,8,8,5,9,8,8,6,9,7,8,8,6,8,9,13,8,8,6,8,10,9,9,11,10,9,9,10,8,8,8,10,10,8,8,8,8,8,8,7,8,6,7,7,7,1,1,1,2,12,11,11,11,10,6,3,3,3,"Norra Nordanvägen","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Kvinna"
"5",5,13,12,14,11,14,14,10,9,8,7,7,7,7,7,7,10,11,6,8,14,11,6,6,6,10,14,7,14,14,14,12,14,11,10,14,14,14,13,14,7,8,7,7,12,7,13,12,8,14,14,11,3,3,10,9,14,12,14,13,2,9,9,8,"Runby","Högskola/universitet","Egen företagare","10 år eller mer","45-54","Man"
"6",6,7,7,9,7,7,11,10,7,7,4,11,7,7,7,7,8,9,7,7,7,8,9,7,7,7,8,9,11,11,8,7,7,7,11,7,8,10,10,10,8,9,8,8,4,8,7,7,7,7,7,8,3,4,10,11,14,9,14,6,6,8,5,5,"Grimstaby","Grundskola eller motsvarande obligatorisk skola","Egen företagare","10 år eller mer","35-44","Man"
"7",7,10,8,9,6,9,11,6,8,6,8,8,6,6,7,7,8,11,7,8,11,13,13,12,11,11,8,9,10,14,14,10,10,14,10,9,8,14,13,9,14,9,6,10,7,7,8,8,8,14,8,3,14,3,14,9,12,14,12,6,3,4,4,6,"Lindhemsvägen","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Kvinna"
"8",8,9,8,6,8,8,9,8,8,6,6,8,6,8,8,8,7,8,10,6,9,11,8,8,6,8,8,9,8,9,9,8,8,9,8,8,8,9,9,8,6,8,8,8,6,6,8,8,8,8,10,1,1,1,1,1,1,2,2,2,1,7,5,4,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"9",9,11,11,11,11,11,11,11,10,10,3,5,0,9,10,14,14,14,6,12,10,10,3,13,14,7,14,6,14,14,14,12,10,14,10,14,14,14,14,6,9,14,14,14,14,14,8,14,7,14,14,5,4,10,14,3,14,14,14,14,7,10,5,6,"Sjukyrkoberget","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","55-64","Man"
"10",10,7,5,6,6,9,8,6,9,8,7,7,6,8,7,7,8,9,7,8,7,7,7,7,7,7,11,6,8,11,9,5,6,6,9,7,8,11,9,5,11,10,12,14,7,7,7,7,7,7,7,1,1,1,1,1,6,4,7,9,1,5,6,6,"Runby","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Man"
"11",11,12,10,8,11,7,8,8,13,0,14,8,9,10,9,11,8,8,8,8,8,7,7,7,7,7,11,5,8,8,7,9,9,13,9,11,11,11,11,11,11,12,12,12,10,6,7,7,7,7,7,9,8,6,7,6,7,10,8,11,6,3,5,5,"Folkparksområdet","Annan eftergymnasial utbildning","Egen företagare","10 år eller mer","35-44","Man"
"12",12,5,6,13,8,5,8,5,5,6,13,7,7,7,7,7,8,6,8,8,10,8,8,8,5,7,9,9,9,9,9,9,9,9,8,9,10,10,8,8,9,10,10,8,6,6,8,9,6,8,8,4,5,2,4,2,2,3,4,4,2,0,5,6,"Södra Bollstanäs","Grundskola eller motsvarande obligatorisk skola","Pensionär","10 år eller mer","65+","Kvinna"
"13",13,6,6,9,10,6,9,8,8,6,10,7,7,8,9,9,8,10,8,10,10,7,4,5,7,6,8,6,9,10,10,9,9,10,9,9,9,9,9,9,9,10,9,9,9,6,7,9,7,7,7,1,2,2,3,3,5,5,5,5,2,2,5,2,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"14",14,10,6,4,8,7,6,6,6,8,6,9,7,7,7,7,6,6,6,6,9,8,6,8,5,8,8,7,8,8,8,9,8,8,8,8,8,8,8,6,7,9,8,8,6,6,9,8,8,9,7,5,2,1,6,3,7,4,4,4,2,8,7,4,"Stallgatan","Högskola/universitet","Pensionär","10 år eller mer","55-64","Kvinna"
"15",15,9,9,1,12,4,5,9,3,0,10,6,5,9,5,11,5,13,4,6,14,10,6,3,8,5,11,5,8,14,14,8,8,8,6,4,5,14,10,6,0,8,8,9,8,8,9,6,6,8,8,7,2,3,2,2,11,2,10,3,1,3,3,0,"Messingen/Optimus","Högskola/universitet","Förvärvsarbetande (anställd)","0-4 år","25-34","Man"
"16",16,14,9,9,9,11,13,10,11,9,9,11,12,10,13,14,6,12,10,12,7,12,11,12,11,12,12,12,12,12,12,10,13,13,13,13,14,14,14,14,14,7,7,7,7,7,7,7,7,7,7,4,4,3,4,3,4,4,4,4,3,6,7,6,"Prästgårdsmarken","Högskola/universitet","Egen företagare","10 år eller mer","65+","Kvinna"
"17",17,10,6,5,8,9,9,9,8,6,3,8,9,6,7,10,8,9,6,9,9,9,10,8,6,7,8,8,9,14,14,7,8,8,9,7,8,9,10,10,10,10,11,9,6,7,8,8,8,9,10,3,2,3,4,3,7,7,10,9,6,10,7,4,"Runby Backar/Lövsta","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"18",18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Frestaby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"19",19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,11,10,9,8,7,6,5,5,0,5,"Ekebo","Gymnasium, folkhögskola eller motsvarande","Har sjuk- eller aktivitetsersättning","10 år eller mer","45-54","Man"
"20",20,11,9,6,10,9,9,9,9,8,5,4,9,5,4,10,7,10,8,9,7,9,8,9,9,6,10,9,8,11,9,8,9,9,8,11,11,9,12,9,9,10,8,8,6,9,10,5,8,7,9,7,6,5,9,6,11,10,12,8,8,9,8,3,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"21",21,9,6,8,8,9,8,9,7,9,7,9,6,9,9,9,10,10,8,8,8,9,8,10,11,13,8,9,10,14,14,14,14,14,14,14,14,13,13,13,13,14,13,14,7,10,14,14,14,13,14,10,10,9,9,10,14,14,14,14,14,8,5,5,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","55-64","Man"
"22",22,6,7,8,9,10,11,10,9,3,7,5,8,9,9,11,11,9,9,9,9,8,8,8,7,7,9,10,11,14,13,9,9,11,11,10,8,11,12,10,14,9,13,11,7,7,8,8,8,8,8,1,3,4,5,2,14,10,14,9,6,5,4,3,"Odenslunda","Högskola/universitet","Egen företagare","10 år eller mer","65+","Man"
"23",23,8,5,9,7,6,6,10,5,5,5,6,9,6,10,10,9,6,9,10,6,7,7,7,7,7,9,8,8,10,7,8,8,10,10,7,7,7,7,7,7,9,9,8,8,4,9,9,8,10,11,1,3,4,5,3,6,6,6,6,3,8,8,7,"Odenslunda","Gymnasium, folkhögskola eller motsvarande","Långtidssjukskriven (mer än 3 månader)","10 år eller mer","55-64","Man"
"24",24,7,9,11,7,7,5,5,10,5,10,7,7,7,7,7,6,6,8,10,10,6,11,8,8,7,8,5,11,11,12,6,11,11,11,11,11,11,11,9,11,6,6,10,7,7,11,11,8,11,11,5,11,5,11,5,11,11,11,11,8,3,3,8,"Frestaby","Grundskola eller motsvarande obligatorisk skola","Pensionär","10 år eller mer","65+","Man"
"25",25,13,9,0,9,14,10,10,10,8,1,8,9,8,9,8,10,12,6,11,7,12,6,8,8,9,9,10,11,11,11,9,9,9,10,11,9,10,11,10,7,9,10,6,6,7,13,12,12,12,9,2,3,2,4,5,6,5,5,6,7,8,7,6,"Odenslunda","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"26",26,7,4,13,10,6,10,10,12,1,13,8,6,9,12,13,10,5,2,11,6,6,5,6,6,4,8,9,8,14,14,12,7,14,7,9,9,14,10,7,4,9,10,8,5,7,6,9,3,3,10,1,4,0,5,1,7,9,11,8,0,2,1,1,"Södra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Vill ej uppge"
"27",27,10,10,4,11,11,8,8,5,5,8,3,4,5,6,8,11,11,8,9,8,14,6,12,9,10,11,6,11,13,13,14,13,13,14,14,13,14,14,14,14,14,14,14,14,10,14,14,14,14,14,3,4,5,9,6,11,11,11,11,7,6,3,4,"Dragonvägen","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"28",28,13,8,12,9,9,11,10,10,11,7,9,9,9,9,11,4,4,4,11,5,11,5,10,6,9,11,11,11,11,11,6,11,8,9,11,10,10,10,10,10,11,9,9,10,7,10,9,9,11,11,11,10,10,10,12,12,9,11,9,9,10,10,9,"Smedby 2","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"29",29,14,14,2,13,8,10,8,8,1,0,6,6,8,8,12,4,14,8,8,8,11,10,10,10,9,9,8,8,10,10,9,10,13,14,14,14,14,14,8,8,14,9,10,8,8,14,14,14,14,14,14,7,8,9,12,7,13,12,12,14,10,7,1,"Runby Backar/Lövsta","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"30",30,8,8,8,9,10,11,8,9,5,9,3,10,6,7,10,5,9,9,9,10,13,13,12,12,13,11,5,11,11,11,12,10,12,11,8,11,11,10,8,10,11,10,8,9,10,10,10,11,10,7,10,7,12,9,9,7,12,11,11,9,8,5,8,"Sjukyrkoberget","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Kvinna"
"31",31,11,1,13,12,12,14,12,3,11,2,0,1,14,12,14,2,2,14,2,12,2,2,2,2,1,1,12,12,12,13,0,1,14,12,14,14,12,2,2,2,13,13,7,13,2,8,13,7,12,6,1,7,1,14,2,14,14,7,14,0,10,10,10,"Stora Wäsby gård","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"32",32,1,8,14,9,0,14,13,8,0,12,2,7,0,1,14,10,9,8,7,14,10,9,11,8,0,9,8,6,14,11,5,4,8,3,6,6,14,11,0,5,12,8,10,0,11,0,1,8,2,6,1,6,2,4,3,11,7,10,9,0,0,0,5,"Hasselgatan","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"33",33,9,7,5,7,7,9,8,6,6,5,8,8,8,8,10,6,6,5,7,7,5,5,4,6,9,7,7,6,10,9,6,9,6,9,11,10,10,8,8,8,9,8,9,4,5,9,8,8,8,8,2,6,2,2,3,9,9,9,2,2,10,10,5,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","55-64","Man"
"34",34,4,6,10,6,7,11,11,4,6,6,9,6,9,8,7,10,9,6,8,7,3,6,5,5,3,10,3,4,10,9,6,5,11,4,5,8,10,6,9,11,6,9,10,6,3,6,6,6,6,9,3,3,1,2,2,3,9,1,10,1,7,3,2,"Carlslund/Brunnby Park","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"35",35,10,8,8,8,10,9,8,5,7,7,5,9,6,6,8,8,9,8,9,8,8,11,8,11,9,9,8,11,11,11,8,11,11,9,11,11,11,11,11,11,11,11,11,8,7,11,11,11,11,11,1,1,1,7,2,5,7,7,7,7,3,7,5,"Carlslund/Brunnby Park","Grundskola eller motsvarande obligatorisk skola","Har sjuk- eller aktivitetsersättning","10 år eller mer","55-64","Kvinna"
"36",36,12,11,7,10,9,12,13,11,7,7,12,9,8,13,14,12,13,13,13,13,14,14,13,13,14,13,12,13,14,14,14,14,14,14,14,14,13,13,12,13,13,11,10,8,9,13,12,13,13,14,12,13,12,13,14,14,14,14,13,13,9,5,5,"Södra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"37",37,5,5,9,8,4,10,8,8,0,12,4,8,6,10,3,10,8,7,7,7,10,2,11,2,5,9,9,5,12,7,1,9,7,10,4,3,13,11,7,7,8,10,5,3,3,7,4,10,6,11,4,2,1,12,3,13,10,13,5,8,2,3,2,"Södra Bollstanäs","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"38",38,9,5,8,10,7,9,10,7,4,8,10,7,8,6,10,10,9,7,9,8,8,6,8,7,6,9,6,11,11,10,8,8,7,10,10,8,9,9,8,7,10,9,7,7,7,8,11,8,8,8,5,3,4,12,2,8,9,10,11,5,6,6,4,"Sjukyrkoberget","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","5-9 år","45-54","Kvinna"
"39",39,8,6,9,8,7,7,9,10,0,14,6,5,6,9,11,8,9,6,10,9,14,9,14,7,7,10,6,14,14,14,8,14,11,14,7,7,14,9,10,8,14,14,9,2,7,8,9,10,6,7,2,3,4,6,7,12,8,13,11,1,0,1,4,"Runby","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Man"
"40",40,11,5,8,11,4,4,4,8,5,4,8,8,8,6,8,8,6,8,6,8,6,6,6,6,6,9,6,9,7,7,9,9,8,8,8,7,7,7,7,7,8,8,8,8,6,9,8,10,8,10,1,2,1,1,1,1,2,2,2,2,7,5,5,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"41",41,14,14,14,14,14,14,9,10,13,0,11,0,10,10,14,14,13,6,9,14,8,6,11,14,7,14,8,13,14,14,10,14,14,8,14,12,14,12,6,10,14,13,10,14,5,11,13,8,10,7,14,8,10,11,5,12,14,14,14,1,10,10,7,"Sjukyrkoberget","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"42",42,6,9,10,11,7,10,10,6,3,8,8,6,10,10,9,11,10,4,9,10,10,6,5,11,10,9,10,11,13,13,8,10,8,9,13,11,13,12,13,14,10,12,8,11,6,9,6,13,5,10,3,6,3,6,6,12,6,12,9,6,4,3,7,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","55-64","Man"
"43",43,9,11,4,9,8,8,11,8,8,6,8,8,9,9,7,10,7,7,7,7,8,7,7,7,7,7,7,8,8,9,10,7,7,7,7,8,9,9,9,7,11,11,7,7,7,7,7,7,10,10,3,3,3,4,5,9,9,9,10,3,6,4,4,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"44",44,7,9,11,11,9,11,11,6,4,11,9,9,9,9,9,6,6,6,6,11,14,5,12,12,14,14,14,14,14,14,14,9,14,11,14,14,14,14,14,14,14,14,11,8,0,8,11,13,13,13,1,1,1,1,2,14,14,14,7,7,0,2,0,"Hasselbacken","Grundskola eller motsvarande obligatorisk skola","Egen företagare","10 år eller mer","65+","Man"
"45",45,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"46",46,10,10,4,10,7,8,6,6,9,5,5,8,7,8,8,8,9,7,9,8,8,6,9,7,7,9,8,10,9,9,8,8,9,9,8,8,8,8,7,5,8,7,7,7,7,9,7,9,10,11,6,0,0,0,0,0,0,0,0,0,7,4,3,"Njursta","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"47",47,10,10,10,7,7,14,14,14,6,8,5,14,10,10,14,14,14,14,14,14,14,8,14,3,14,10,14,14,14,14,7,14,7,14,7,7,14,10,10,14,14,14,7,7,14,9,9,9,6,12,6,10,7,13,12,9,8,11,14,5,4,5,5,"Smedby 2","Högskola/universitet","Förvärvsarbetande (anställd)","5-9 år","35-44","Man"
"48",48,6,7,8,9,9,8,8,9,6,9,8,7,8,9,10,8,8,7,9,10,7,9,8,7,8,7,7,7,8,9,6,6,7,8,7,7,7,7,7,7,7,6,8,9,7,8,9,10,11,7,4,5,3,10,6,9,8,9,10,7,4,4,4,"Smedby 3","Annan eftergymnasial utbildning","Egen företagare","10 år eller mer","65+","Man"
"49",49,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,10,10,5,"Runby","Högskola/universitet","Student","10 år eller mer","15-24","Man"
"50",50,6,8,8,9,7,6,8,8,6,11,8,6,9,6,10,11,6,9,11,9,6,4,9,8,3,5,9,8,8,8,8,8,9,8,7,6,8,8,8,11,8,8,8,6,7,8,8,6,6,7,7,4,7,5,2,8,8,8,10,5,0,2,7,"Brunnby/Vik","Högskola/universitet","Egen företagare","10 år eller mer","45-54","Vill ej uppge"
"51",51,7,9,4,9,9,14,11,10,2,3,5,8,8,10,14,12,10,12,11,14,14,9,14,5,14,11,11,14,14,14,8,14,8,11,8,8,14,11,8,8,10,5,13,0,13,10,10,10,14,10,12,13,5,12,14,14,9,11,7,5,10,0,0,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Man"
"52",52,10,10,10,10,12,8,9,10,10,6,10,10,9,10,7,9,9,6,10,7,8,10,8,8,9,10,8,10,10,10,8,8,11,8,8,9,10,10,8,10,8,10,8,10,6,11,12,10,11,11,6,5,6,9,7,8,8,8,10,5,7,7,7,"Brunnby/Vik","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"53",53,10,9,8,13,7,12,8,8,2,5,1,11,11,5,12,13,12,12,8,9,13,4,8,6,9,14,14,14,14,14,10,10,8,8,8,8,13,6,8,5,10,8,11,8,9,10,8,8,6,13,7,1,7,2,8,8,8,8,6,3,8,2,1,"Dragonvägen","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"54",54,5,8,13,9,14,14,11,13,6,8,5,6,11,12,13,14,9,1,4,13,8,1,7,3,2,11,6,14,14,14,3,10,5,6,7,8,12,13,9,10,13,12,8,2,7,6,5,4,9,11,7,8,4,9,3,12,2,13,11,1,1,4,8,"Sjukyrkoberget","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"55",55,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Dragonvägen","Högskola/universitet","Egen företagare","10 år eller mer","25-34","Man"
"56",56,6,8,6,10,10,8,9,8,5,5,8,10,11,10,10,9,8,6,8,7,8,6,5,10,7,8,9,5,11,10,12,9,14,8,10,8,10,12,0,9,12,11,8,0,14,8,10,8,5,8,1,10,1,2,1,7,8,7,14,1,8,0,0,"Stallgatan","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Man"
"57",57,0,3,11,7,7,12,8,7,2,5,7,7,7,7,7,5,14,8,7,14,7,0,2,0,0,6,6,3,14,10,5,9,12,7,7,7,14,7,9,7,9,14,8,3,8,6,3,5,10,7,0,6,0,14,1,14,14,14,14,3,0,0,4,"Odenslunda","Högskola/universitet","Student","5-9 år","15-24","Man"
"58",58,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Brunnby/Vik","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"59",59,11,7,7,7,7,11,8,8,6,7,5,8,8,8,11,8,8,8,11,7,10,8,9,8,10,9,10,10,11,7,9,9,11,9,11,11,10,10,8,9,11,11,10,10,4,10,10,10,10,10,6,7,7,7,7,7,8,7,7,7,8,3,7,"Södra Bollstanäs","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"60",60,11,9,5,7,7,11,10,3,7,7,8,9,3,10,7,10,10,7,7,7,6,11,8,6,7,11,5,11,10,9,10,6,10,10,9,11,9,8,6,7,11,10,9,6,7,11,12,9,6,7,3,6,5,3,4,7,8,10,10,4,8,6,3,"Ekebo","Gymnasium, folkhögskola eller motsvarande","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","45-54","Kvinna"
"61",61,14,8,5,13,11,14,13,7,6,3,7,2,6,7,14,7,14,9,7,10,14,6,9,8,10,11,8,12,14,13,8,8,13,12,14,14,13,9,8,5,13,13,13,9,14,14,8,13,9,14,8,6,7,5,9,12,11,10,13,14,10,8,3,"Vilunda/Korpkulla","Gymnasium, folkhögskola eller motsvarande","Student","10 år eller mer","15-24","Kvinna"
"62",62,6,6,9,9,6,9,8,5,8,9,8,8,6,8,11,8,5,5,8,9,8,6,8,7,7,5,9,8,9,10,8,8,8,7,7,6,9,8,7,7,10,10,7,7,7,7,7,7,7,7,2,2,2,4,2,4,4,4,3,0,2,4,5,"Brunnby/Vik","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Man"
"63",63,11,7,3,11,11,11,11,3,3,3,3,3,3,11,11,5,11,11,6,8,10,5,6,10,10,6,9,10,11,11,11,11,11,11,11,11,11,11,9,11,11,11,9,11,3,12,12,12,12,12,9,11,11,12,10,12,12,12,12,12,10,10,1,"Hasselbacken","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Man"
"64",64,6,6,13,8,7,12,9,14,0,14,10,4,8,8,11,9,11,11,11,13,14,9,14,8,11,14,7,14,14,14,8,10,10,11,14,14,14,14,14,11,14,14,14,14,10,14,14,13,13,14,1,9,2,8,2,14,12,14,14,6,0,2,2,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"65",65,14,7,3,5,4,8,7,3,14,3,7,7,7,7,7,3,5,10,5,10,12,4,14,5,7,10,0,7,14,14,0,8,8,6,14,14,14,14,2,4,7,7,7,14,0,14,14,14,14,14,2,2,2,7,11,13,10,14,1,14,10,10,2,"Prästgårdsmarken","Högskola/universitet","Övrigt","10 år eller mer","65+","Man"
"66",66,12,8,10,12,10,12,9,8,6,4,8,8,9,7,7,8,12,8,9,12,9,9,8,9,10,8,8,8,8,11,6,11,6,12,9,11,12,10,8,10,8,6,10,1,9,6,10,8,11,9,3,6,4,7,5,6,5,7,5,4,8,3,3,"Hasselgatan","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Man"
"67",67,14,11,4,9,7,10,10,8,8,0,9,9,9,9,10,8,13,10,12,9,14,10,14,8,14,12,6,10,14,14,14,14,14,14,14,12,14,14,10,5,11,12,12,6,9,14,12,8,13,10,12,3,6,8,14,14,14,14,10,2,10,10,2,"Brunnby/Vik","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"68",68,11,11,9,10,11,11,10,9,9,4,9,8,10,11,11,10,9,9,10,10,7,7,7,7,7,11,9,11,11,11,8,8,10,9,11,11,11,10,10,10,9,9,9,9,7,11,11,11,11,11,2,2,2,2,2,5,5,5,4,4,10,5,4,"Runby","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
"69",69,11,11,3,11,7,11,11,7,11,7,9,11,5,11,11,11,11,11,11,7,11,5,11,6,11,11,11,11,11,11,8,11,11,11,11,11,11,11,8,11,9,11,11,8,3,8,11,8,8,11,0,0,0,0,0,0,0,0,0,0,10,10,10,"Norra Bollstanäs","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Man"
"70",70,14,3,0,14,0,0,0,10,7,5,6,14,3,1,12,9,0,0,11,10,0,11,1,13,0,11,2,4,14,12,11,2,12,9,3,3,10,8,8,14,11,14,0,0,14,12,9,0,0,11,0,0,0,0,0,0,0,0,0,0,6,6,6,"Runby Backar/Lövsta","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","35-44","Man"
"71",71,10,9,9,11,9,10,10,10,9,8,10,11,10,10,10,10,11,10,10,9,11,11,10,10,10,12,10,11,11,11,10,10,10,11,10,10,11,11,10,11,11,11,11,9,10,10,10,10,10,10,2,1,1,1,3,3,3,3,3,3,7,5,4,"Prästgårdsmarken","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"72",72,2,14,14,14,14,14,14,7,0,14,14,10,7,7,14,14,14,3,14,14,14,14,14,3,3,0,14,14,14,14,8,14,8,14,8,8,14,14,10,10,14,7,14,4,14,14,6,9,11,12,1,9,2,11,3,14,12,14,14,7,0,0,10,"Sigma/Apoteksskogen","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Man"
"73",73,7,6,9,8,5,3,10,6,5,8,8,8,6,8,8,8,8,6,5,10,9,5,9,3,8,5,10,9,10,10,8,6,8,9,6,8,9,10,9,6,9,8,8,6,6,8,6,8,11,5,5,6,6,12,8,10,8,8,11,6,1,0,0,"Odenslunda","Högskola/universitet","Student","10 år eller mer","15-24","Kvinna"
"74",74,13,12,5,10,6,9,11,7,6,3,11,11,11,11,11,9,6,12,8,7,4,4,4,4,3,5,7,6,11,11,7,7,11,7,7,8,8,8,8,2,7,7,7,12,6,12,10,11,9,12,0,0,0,0,0,0,0,0,0,0,10,5,0,"Hasselgatan","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Kvinna"
