"","X","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12","X13","X14","Area","Utbildningsnivå","Sysselsättning","Tid.i.UppVäs","Ålder","Kön"
"686",686,7,10,9,12,13,9,11,6,2,13,12,10,11,11,13,14,14,14,14,14,12,11,11,12,9,14,9,12,14,14,14,14,11,14,14,14,9,10,10,12,14,14,12,10,5,13,12,13,13,14,11,3,10,9,8,12,7,13,14,6,1,3,1,"Runby","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Kvinna"
"687",687,9,7,7,7,7,12,8,8,5,12,10,8,8,7,9,11,7,8,5,11,6,4,7,7,4,11,9,10,11,11,10,8,10,6,9,12,9,11,8,9,13,8,9,7,7,7,7,7,7,7,1,5,2,3,5,5,3,5,7,0,0,6,6,"Brunnby/Vik","Högskola/universitet","Förvärvsarbetande (anställd)","10 år eller mer","55-64","Man"
"688",688,4,8,13,9,8,7,7,8,0,14,7,14,7,7,7,13,12,8,7,11,7,3,10,4,5,9,9,9,11,11,9,8,13,9,12,13,12,9,9,9,14,13,8,6,6,9,8,8,11,11,6,3,4,9,2,11,12,11,12,3,0,3,5,"Njursta","Högskola/universitet","Egen företagare","5-9 år","45-54","Kvinna"
"689",689,10,9,5,7,9,10,9,6,6,5,9,9,6,8,10,6,8,8,9,10,9,6,6,8,8,8,6,8,11,11,9,8,8,6,9,9,10,10,11,8,9,10,6,6,8,10,10,10,10,10,2,2,5,10,5,10,10,4,10,0,8,6,6,"Norra Bollstanäs","Annan eftergymnasial utbildning","Pensionär","10 år eller mer","65+","Man"
"690",690,11,10,8,11,10,9,9,8,8,10,5,8,8,8,10,10,11,9,9,10,8,8,8,8,8,8,8,8,9,9,11,11,11,11,11,7,7,7,7,7,11,11,11,10,9,9,10,11,8,11,6,5,3,4,4,7,8,9,10,9,6,4,4,"Dragonvägen","Högskola/universitet","Student","10 år eller mer","25-34","Kvinna"
"691",691,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Folkparksområdet","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"692",692,10,9,10,11,7,10,10,1,9,1,3,10,3,5,10,11,11,3,9,10,12,6,12,0,12,13,6,12,13,13,6,12,12,12,12,14,14,14,13,14,12,12,12,6,1,8,9,10,12,11,3,14,7,14,14,14,14,0,0,0,8,8,8,"Sigma/Apoteksskogen","Grundskola eller motsvarande obligatorisk skola","Pensionär","10 år eller mer","65+","Kvinna"
"693",693,14,14,4,14,14,10,13,10,14,1,9,9,6,14,14,5,14,14,14,14,14,14,11,14,13,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,7,14,14,14,14,14,14,11,11,14,11,14,14,14,14,14,10,10,10,"Dragonvägen","Gymnasium, folkhögskola eller motsvarande","Övrigt","10 år eller mer","55-64","Kvinna"
"694",694,4,4,4,10,4,5,10,5,5,5,5,4,5,5,3,10,5,5,5,5,10,4,9,10,3,4,11,9,11,11,10,11,10,11,12,12,12,12,5,14,11,12,5,7,4,10,11,11,14,14,11,12,11,4,11,8,11,13,14,6,6,9,8,"Frestaby","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","55-64","Kvinna"
"695",695,6,8,11,8,6,9,10,8,11,14,6,9,9,10,14,10,8,6,6,7,8,9,5,6,7,13,8,11,14,12,6,8,12,10,7,8,13,9,8,7,10,9,10,7,7,14,9,9,11,8,1,1,2,4,1,4,5,11,6,8,4,4,3,"Odenslunda","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"696",696,11,8,6,11,11,9,9,8,8,6,5,5,6,10,11,10,8,9,11,9,10,9,10,9,10,8,8,9,11,10,12,11,12,11,11,12,11,12,9,11,11,9,8,11,7,9,10,10,9,10,5,5,5,6,5,12,12,12,8,6,5,5,5,"Runby Backar/Lövsta","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"697",697,7,6,8,6,8,8,8,6,6,6,7,6,8,8,6,8,8,6,6,6,8,8,8,8,6,10,4,8,8,8,9,8,8,8,9,8,8,9,8,8,10,8,8,8,8,9,9,9,9,11,5,9,5,5,5,4,3,4,2,4,9,2,8,"Sigma/Apoteksskogen","Grundskola eller motsvarande obligatorisk skola","Förvärvsarbetande (anställd)","10 år eller mer","45-54","Kvinna"
"698",698,10,9,11,9,7,11,13,11,14,11,11,11,5,12,14,13,14,13,14,9,7,7,7,7,7,10,12,11,10,9,12,11,10,11,10,8,12,7,7,7,13,14,7,7,7,13,9,7,7,7,5,12,12,6,2,0,12,2,1,1,3,8,8,"Glädjen/Skälbys arbetsområde","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","65+","Kvinna"
"699",699,10,12,8,6,6,6,6,10,6,6,6,6,5,11,6,11,13,11,11,12,12,12,12,12,12,5,6,6,6,6,10,11,10,12,8,8,9,9,9,13,14,14,14,14,14,6,6,10,6,11,1,5,4,8,5,10,7,4,5,0,6,6,3,"Ekebo","Grundskola eller motsvarande obligatorisk skola","Egen företagare","5-9 år","25-34","Kvinna"
